CommonID,PreferredTerm,RadlexID
   4013418,A1 segment of anterior cerebral artery,RID650
   4013419,A2 segment of anterior cerebral artery,RID651
   4013398,abdomen,RID56
   4013401,abdominal aorta,RID905
   4013420,abdominal cavity,RID32954
   4013421,abdominal lymph node group,RID28854
   4013422,abdominal part of esophagus,RID31555
   4013423,abducens nerve,RID12116
   4013424,abductor digiti minimi muscle,RID3167
   4013425,abductor digiti minimi muscle of hand,RID2358
   4013426,abductor digiti minimi of left hand,RID43144
   4013427,abductor digiti minimi of right hand,RID43143
   4013428,abductor hallucis muscle,RID3165
   4013429,abductor pollicis brevis muscle,RID2346
   4013430,abductor pollicis longus muscle,RID2154
   4013431,abductor pollicis longus tendon,RID2374
   4013432,accessory breast,RID29955
   4013433,accessory nerve,RID12221
   4013434,accessory nerve tract,RID17608
   4013435,accessory pancreatic duct,RID182
   4013436,acetabular labrum,RID2644
   4013437,acetabular notch,RID2567
   4013438,acetabulum,RID2564
   4013439,Achilles tendon,RID3184
   4013440,acromioclavicular joint,RID1895
   4013441,acromion,RID1862
   4013442,adductor brevis muscle,RID2710
   4013443,adductor hallucis muscle,RID3176
   4013444,adductor longus muscle,RID2708
   4013445,adductor magnus muscle,RID2711
   4013446,adductor pollicis muscle,RID2351
   4013408,adrenal artery,RID935
   4013411,adrenal gland,RID88
   4013447,adrenal vein,RID34819
   4013448,alar fascia,RID7539
   4013449,alveolar part of maxilla,RID9271
   4013450,amnion,RID34560
   4013451,anal canal,RID32691
   4013452,anatomical neck of humerus,RID1972
   4013453,anconeus muscle,RID2149
   4013454,ankle,RID28545
   4013455,ankle joint,RID3004
   4013456,annular ligament of radius,RID2048
   4013457,ansa cervicalis,RID21931
   4013458,anterior abdominal wall,RID30008
   4013459,anterior cerebral artery,RID648
   4013460,anterior cerebral vein,RID36161
   4013461,anterior chamber of globe,RID9675
   4013462,anterior chest wall,RID29859
   4013463,anterior choroidal artery,RID643
   4013464,anterior commissure,RID6911
   4013465,anterior communicating artery,RID649
   4013466,anterior compartment of arm,RID38666
   4013467,anterior compartment of left arm,RID39956
   4013468,anterior compartment of left leg,RID48165
   4013469,anterior compartment of left thigh,RID48158
   4013470,anterior compartment of leg,RID2931
   4013471,anterior compartment of right arm,RID39955
   4013472,anterior compartment of right leg,RID48164
   4013473,anterior compartment of right thigh,RID48157
   4013474,anterior compartment of thigh,RID2691
   4013475,anterior cruciate ligament,RID2781
   4013476,anterior fold of malleus,RID10191
   4013477,anterior hypothalamic region,RID6661
   4013478,anterior inferior area of anterior segment of right lobe of liver,RID33240
   4013479,anterior inferior cerebellar artery,RID794
   4013480,anterior intercavernous sinus,RID39320
   4013481,anterior jugular vein,RID1020
   4013482,anterior limb of internal capsule,RID6942
   4013483,anterior limb of left internal capsule,RID17024
   4013484,anterior limb of right internal capsule,RID17023
   4013485,anterior limb of stapes,RID10154
   4013486,anterior medullary segment of PICA,RID781
   4013487,anterior nasal spine of maxilla,RID9246
   4013488,anterior parietal artery,RID35916
   4013489,anterior process of malleus,RID10169
   4013490,anterior scalene muscle,RID7496
   4013491,anterior semicircular canal,RID10214
   4013492,anterior spinal artery,RID789
   4013493,anterior superior area of anterior segment of right lobe of liver,RID33239
   4013494,anterior talofibular ligament,RID3022
   4013495,anterior temporal artery,RID673
   4013496,anterior thalamoperforating artery,RID810
   4013497,anterior tibial artery,RID971
   4013498,anterior tibial vein,RID1205
   4013499,anterior tibiofibular ligament,RID38808
   4013500,anterior tibiotalar ligament,RID3015
   4013414,anus,RID164
   4013402,aorta,RID480
   4013501,aortic arch,RID581
   4013502,aortic valve,RID1394
   4013503,aortopulmonary lymph node,RID1477
   4013504,apex of lung,RID28584
   4013505,appendix,RID168
   4013506,areola,RID29911
   4013507,areola of female breast,RID29917
   4013508,areola of left female breast,RID29919
   4013509,areola of left male breast,RID29916
   4013510,areola of male breast,RID29914
   4013511,areola of right female breast,RID29918
   4013512,areola of right male breast,RID29915
   4013513,arm,RID1968
   4013514,arterial system,RID13183
   4013515,artery of central sulcus,RID676
   4013516,artery of left postcentral sulcus,RID36499
   4013517,artery of left precentral sulcus,RID36496
   4013518,artery of postcentral sulcus,RID36497
   4013519,artery of precentral sulcus,RID36494
   4013520,artery of right postcentral sulcus,RID36498
   4013521,artery of right precentral sulcus,RID36495
   4013522,articularis genus,RID48211
   4013523,articulation of ossicles,RID10170
   4013524,arytenoid cartilage,RID7606
   4013525,ascending aorta,RID580
   4013526,ascending colon,RID157
   4013527,ascending lumbar vein,RID1176
   4013528,ascending pharyngeal artery,RID692
   4013529,atlantooccipital articulation,RID7908
   4013530,atlas,RID7745
   4013531,axillary artery,RID860
   4013532,axillary lymph node,RID1517
   4013533,axillary nerve,RID7240
   4013534,axillary vein,RID1014
   4013535,axis,RID7747
   4013536,azygos vein,RID1169
   4013537,back,RID30781
   4013538,basal vein,RID1152
   4013539,base of cranium,RID28731
   4013540,basilar artery,RID791
   4013541,basilic vein,RID1016
   4013542,biceps brachii muscle,RID1996
